result_id,corpus,path,source_sha256,line,end_line,environment,title,label,label_occurrences_within_corpus,duplicate_label_within_corpus,inline_proof_detected,proof_line,linked_claim_ids,claim_ledger_states,evidence_status,audit_status,assumptions_audited,domain_audited,units_audited,proof_audited,dependencies_audited,counterexample_audited,evidence_link_audited,notes
PAPER-FR-0001-pr:cota,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,290,301,proposicion,La cota de esfuerzo es un dato del actuador,pr:cota,1,no,yes,303,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La deducción cuasiestática es recuperable, pero requiere hipótesis mecánicas y convención de valor absoluto antes de sostener una cota física. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0002-th:noequiv,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,394,407,teorema,Principio de no equivalencia,th:noequiv,1,no,yes,409,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: Los contraejemplos expresan fronteras útiles, pero el resultado combina tres modelos sin formalización suficiente para promoverlo. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0003-pr:degeneracion,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,426,432,proposicion,El déficit lineal no distingue servicio,pr:degeneracion,1,no,yes,434,C1B-SP1,SOPORTADA,candidate,DUPLICATE,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica DUPLICATE: Es la misma degeneración bajo escasez ya demostrada, probada y trazada en el spine activo. Decisión: retain-canonical-result-only. No hay promoción automática."
PAPER-FR-0004-co:lexico,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,440,445,corolario,Necesidad de un objetivo lexicográfico,co:lexico,1,no,no,,C1B-SP1,SOPORTADA,candidate,DUPLICATE,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica DUPLICATE: La parte lógica ya está cubierta por el contraejemplo canónico; la recomendación de diseño no es un corolario único. Decisión: retain-canonical-result-only. No hay promoción automática.
PAPER-FR-0005-le:aditividad,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,464,469,lema,Aditividad,le:aditividad,1,no,yes,471,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La identidad es estándar y correcta con contribuciones de likelihood bien definidas, pero la notación ell_c(y_j)-ell_c^0 necesita fijarse. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0006-th:mapa,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,489,501,teorema,El consenso sobre \emph{log-odds} recupera el posterior centralizado,th:mapa,1,no,yes,503,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: La tasa correcta es max_{j>=2}|1-epsilon lambda_j|, o requiere una restricción de paso más fuerte; el teorema es falso como está. Decisión: reject-as-formal-support. No hay promoción automática."
PAPER-FR-0007-pr:notiron,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,555,560,proposicion,No existe tirón normal,pr:notiron,1,no,yes,562,C-SP2-EL-CONTACT-MODEL,SOPORTADA,candidate,DUPLICATE,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica DUPLICATE: Es una consecuencia directa del modelo unilateral ya delimitado en el resultado activo de contacto Cargo/caging. Decisión: retain-canonical-result-only. No hay promoción automática.
PAPER-FR-0008-th:span,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,575,587,teorema,Caracterizacion exacta de la realizabilidad,th:span,1,no,yes,589,,,candidate,LIMITED,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica LIMITED: La equivalencia de generación positiva es válida, pero debe expresarse con columnas normalizadas y cerrar la prueba por polaridad/separación. Decisión: monograph-candidate-with-explicit-limitation. No hay promoción automática."
PAPER-FR-0009-th:cert,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,634,644,teorema,Exactitud del certificado dentro de su modelo,th:cert,1,no,yes,646,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,Auditoría semántica FAIL: La regularización sí puede modificar el residual; existencia de un punto tolerable no equivale a tolerancia en el óptimo regularizado. Decisión: reject-as-formal-support. No hay promoción automática.
PAPER-FR-0010-th:robusto,paper,paper/megajuego.tex,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,653,664,teorema,Interpretación robusta exacta del margen,th:robusto,1,no,yes,666,,,candidate,FAIL,yes,yes,yes,yes,yes,yes,yes,"Auditoría semántica FAIL: No aporta una proposición independiente y contiene una premisa topológica incorrecta; puede conservarse como definición de margen, no como teorema. Decisión: reject-as-formal-support. No hay promoción automática."
