claim_id,experiment,status,authorized_claim,config,seed_registry,command,manifest,evidence,limitation,config_sha256,manifest_sha256,evidence_sha256
C-INT,A0--FULL,confirmatoria_simulacion_planar,"La escalera separa cardinalidad, capacidad, wrench, mecánica y recuperación; los efectos dependen de la familia.",configs/experiments/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN.yaml,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/protocol/seed_registry.yaml,python scripts/run_physical_coalition_certificate.py run --config configs/experiments/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN.yaml,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/FINAL_RUN_MANIFEST.json,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv,Planta planar numérica; selector FULL con candidatos globales; sin fricción de contacto ni hardware.,d28f51b528a0eb8a761aa0dca01dda3c4d82afdb16adc09a8998503dd117db10,473701f5d49ca3dacda37f849ae5b6d168eef38e51b9448152f105e63ca2c783,4c0cd6f509d0b52a5156c404fbc834ec8fa70c0942eda3acf1fc33351da0c58c
C-SP0,SP0,historica_bloqueada_para_MARL,Existen tres checkpoints MAPPO-GNN trazables de 200.000 transiciones; el éxito cerrado observado procede de la reparación.,configs/experiments/sp0/SP0_PROTOCOL_v1_2_CPU.yaml,results/sp0/SP0_PROTOCOL_v1_2_CPU/protocol/seed_registry.yaml,python scripts/run_sp0_experiment.py configs/experiments/sp0/SP0_PROTOCOL_v1_2_CPU.yaml,results/sp0/SP0_PROTOCOL_v1_2_CPU/FINAL_RUN_MANIFEST.json,results/sp0/SP0_AUDIT_v1/SP0_AUDIT_REPORT.md,RAW no supera controles; separación reparación/QR y varios gates estadísticos fallan. No autoriza superioridad aprendida.,320b13899e3bc800377a296d1e9483e3d44359074370ba3bda47718ec634b0fc,a9234484a5bbb40fcdd49f2952b3ecdd9952308960e135343043bd4a910d9300,415a7fd799f9d8c1622aa69c9057f25c7a24b9ca3256bb29aebe37705a112f5d
C-SP1,SP1,confirmatoria_modular,"Smith-QR mejora a greedy en regret, pero no a todos los controles; el cierre explica parte sustancial del desempeño.",configs/experiments/sp1/SP1_HOMOGENEOUS_v1_1.yaml,NO_DISPONIBLE,python scripts/run_sp1_homogeneous.py configs/experiments/sp1/SP1_HOMOGENEOUS_v1_1.yaml,results/sp1/SP1_HOMOGENEOUS_v1_1/manifest.json,results/sp1/SP1_HOMOGENEOUS_v1_1/tables/hypothesis_results.csv,El cierre QR usa preferencias globales; no acredita distribución extremo a extremo.,e3566d59a20be1fd5c8ff0848f593275c46e28afe6bce79602c9370ba85ecad8,1f478de5e2e62ee2e15412e515f7f3dcf7811bea43ed6cff22e5e2dc17ea3055,7d53aff4d5cb1c190d69ad90a3d27485eff860b2f6f8d265b01ebea6674ac20b
C-SP2,SP2,confirmatoria_modular,"La capacidad efectiva mejora la señal, pero ninguna dinámica domina y uniforme+closure es competitivo.",configs/experiments/sp2/SP2_HETEROGENEOUS_GAME_v1_2.yaml,NO_DISPONIBLE,python scripts/run_sp2_heterogeneous.py configs/experiments/sp2/SP2_HETEROGENEOUS_GAME_v1_2.yaml,results/sp2/SP2_HETEROGENEOUS_GAME_v1_2/manifest.json,results/sp2/SP2_HETEROGENEOUS_GAME_v1_2/tables/hypothesis_results.csv,"Capacidad escalar; no certifica fuerza, torque ni contacto.",98de0015ef74d9faf55e9a47a88b5097f8be5d68c39f78ba3923897abc74270b,7204e0f9cb3e9da27666b2bca96b5cd49a54ca3d101cfd0a104778fe713422d3,3e59742746d8397c7b00709ee6481b66172ac308993a77575bd1ed6599eb031c
C-SP3,SP3,confirmatoria_modular,La relajación satisface la referencia QP/KKT y la guardia elimina falsos positivos wrench en el generador.,configs/experiments/sp3/SP3_WRENCH_NASH_GAME_v1_1.yaml,NO_DISPONIBLE,python scripts/run_sp3_wrench_nash.py configs/experiments/sp3/SP3_WRENCH_NASH_GAME_v1_1.yaml,results/sp3/SP3_WRENCH_NASH_GAME_v1_1/manifest.json,results/sp3/SP3_WRENCH_NASH_GAME_v1_1/tables/hypothesis_results.csv,La guardia es global y domina CLOSED; equivalencia continua no implica optimalidad entera.,898ea9b3b47fb0b19c4fdb03c08d168a642977cd5141de83eb5ac3634a434a50,54c392de433938f06f329de6c2b1a25773dc972291313a27966e5edf3d293d03,cd7ec00d933b0bfaed84a7faac7b6950b65af5ad16de96d0250c2b9a28c0aea6
C-SP4,SP4,confirmatoria_modular_con_sensibilidad,Los cinco contrastes conservan dirección y soporte al agregar por 18 bloques independientes.,configs/experiments/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3.yaml,NO_DISPONIBLE,python scripts/run_sp4_docking_game.py configs/experiments/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3.yaml,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/manifest.json,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/statistics/block_sensitivity.csv,18 bloques semilla-flota; 108 instancias no son réplicas independientes; uniciclo dinámico reducido.,a4dc27352bb41fa13296a8b69c10dba2ae7384cf72cecac953bc1a4b0d77de51,76cd966807c8d2c14e153a5905541f3a6e58f9fea64294f1a692c0ebec53c455,bd8b18460d42d12a67cef8e4c561ff088d49cc2349f46342d3130c3634ecb664
C-SP5,SP5,confirmatoria_modular,"El filtro CBF reduce colisiones de la variante Hamiltoniana RAW, sin demostrar dominancia global.",configs/experiments/sp5/SP5_PAYLOAD_TRANSPORT_CONFIRMATORY_v2.yaml,results/sp5/SP5_PAYLOAD_TRANSPORT_CONFIRMATORY_v2/protocol/seed_registry.yaml,python scripts/run_sp5_payload_transport.py configs/experiments/sp5/SP5_PAYLOAD_TRANSPORT_CONFIRMATORY_v2.yaml,results/sp5/SP5_PAYLOAD_TRANSPORT_CONFIRMATORY_v2/manifest.json,results/sp5/SP5_PAYLOAD_TRANSPORT_CONFIRMATORY_v2/tables/hypothesis_results.csv,Simulación CPU desde contactos fijos; cero colisiones observadas no equivale a seguridad funcional.,d2e71267287d90c57110959a74da574d21d68f0de1608f03cbdb07ee1ac54d48,06bc7a70530737c931945e132196b073cd58326a4e91c7c00187c0d291904470,fdd5b3db49cadc982b1e9ff09071fa12aedfb1fc4b1d35fa203397a4ba2239d4
C-SP6,SP6,descriptiva_historica,"La campaña mide reemplazo, recuperación y pérdida de carga bajo fallos simulados.",configs/experiments/sp6/SP6_MC_robustness_comparison_high_power.yaml,NO_DISPONIBLE,python scripts/run_sp6_experiment.py configs/experiments/sp6/SP6_MC_robustness_comparison_high_power.yaml,results/sp6/SP6_MC_robustness_comparison_high_power/manifest.json,results/sp6/SP6_MC_robustness_comparison_high_power/tables/hypothesis_results.csv,Modelo de fallo y recuperación simulado; no HIL ni robot real.,a08d64ac058a34152658c123af68ccf14c45960030781308a2cc138faccae862,2ed139a0c5a6fab60b2c5586b9a5f0aee23ccaf3219518fa133c1ea2185ab81a,42ed79773367833639b127628c719d064d306151255c5c718029a6dc452fce56
C-SP7,SP7,descriptiva,"La canalización cuantifica conectividad, pérdida, retardo, sensing y éxito dentro de su generador.",configs/experiments/sp7/SP7_MC_communication_robustness_high_power.yaml,NO_DISPONIBLE,python scripts/run_sp7_experiment.py configs/experiments/sp7/SP7_MC_communication_robustness_high_power.yaml,NO_DISPONIBLE,results/sp7/SP7_MC_communication_robustness_high_power/report.md,Sin freeze/manifiesto final promovible ni modelo RF; no se eleva a evidencia confirmatoria.,e83cff531839d3d2945168c939d52d944b6fc837a9a77df03db4da5cc6d885b9,NO_DISPONIBLE,cb4579992a4b239d353dbb70cb7418f869b3bbea6308b55f1bae0480c1bc98bd
C-SP8,SP8,exploratoria,El generador mesoscópico describe tendencias de calidad entre 5 y 50.000 AMR.,configs/experiments/sp8/SP8_MC_fleet_ladder_high_power.yaml,NO_DISPONIBLE,python scripts/run_sp8_experiment.py configs/experiments/sp8/SP8_MC_fleet_ladder_high_power.yaml,NO_DISPONIBLE,results/sp8/SP8_MC_fleet_ladder_high_power/report.md,Tiempo y memoria no fueron medidos con watchdog/RSS común; no demuestra intractabilidad industrial.,ed9e03e153d1f994080e3b23a05c4ce04dc241bd6f3b634347a5d11d83f32c69,NO_DISPONIBLE,30d97cc7210cc0b701868e8662643e1fbf1129175eb5151cce505ce6b368a9dc
