exact_query,exact_result_count,exact_exact_in_snippet,exact_top_url,exact_top_title,exact_urls_first_five,unquoted_query,unquoted_result_count,longest_consecutive_query_words,unquoted_top_url,unquoted_top_title,unquoted_urls_first_five,verdict,rationale,checked_at_utc
"""3 Acoplamiento espacial Bajo el régimen de red degradada fijado incorporar""","5","false","https://normograma.crcom.gov.co/crc/compilacion/docs/decreto_1079_2015.htm","Compilación Jurídica del CRC - Decreto 1079 de 2015","https://normograma.crcom.gov.co/crc/compilacion/docs/decreto_1079_2015.htm | https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX%3A02000R1334-20060412 | https://www.boe.es/buscar/doc.php?id=DOUE-L-2004-82163 | https://www.imprentanacional.go.cr/pub/2021/11/04/COMP_04_11_2021.html | https://it.scribd.com/document/762337406/20240531-2025-01-DR-Adif-Libro","3 Acoplamiento espacial Bajo el régimen de red degradada fijado incorporar","5","2","https://normograma.mintic.gov.co/mintic/compilacion/docs/resolucion_crc_6522_2022.htm","Compilación Jurídica del MINTIC - Resolución 6522 de 2022 CRC","https://normograma.mintic.gov.co/mintic/compilacion/docs/resolucion_crc_6522_2022.htm | https://www.boe.es/buscar/doc.php?id=BOE-A-2018-2198 | https://search.itu.int/history/HistoryDigitalCollectionDocLibrary/1.49.48.es.302.pdf | https://www.manualslib.es/manual/827031/Siemens-Simotics-S-1Fs2.html?page=89 | https://www.boe.es/buscar/act.php?id=BOE-A-2021-9231","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:16:44Z"
"""480 instancias respetaron esa caracterización El plazo estrecho reveló la limitación operativa""","4","false","https://www.dipublico.org/8707/informe-final-de-la-comision-de-analisis-y-evaluacion-de-las-responsabilidades-en-el-conflicto-del-atlantico-sur-informe-rattenbach/","Informe Final de la Comisión de Análisis y Evaluación de","https://www.dipublico.org/8707/informe-final-de-la-comision-de-analisis-y-evaluacion-de-las-responsabilidades-en-el-conflicto-del-atlantico-sur-informe-rattenbach/ | https://jurisprudenciaconstitucional.com/resolucion/77666-corte-constitucional-de-colombia-a266-17 | https://pt.scribd.com/document/824148619/Revista-AMAGIS-Juridica-v-16-n-2-2024 | https://jurisprudenciaconstitucional.com/resolucion/222009-506-caso-miembros-de-la-corporauto-constitucionalion-colectivo-de-abogados--jose-alvear-restrepo-vs-colombia","480 instancias respetaron esa caracterización El plazo estrecho reveló la limitación operativa","5","2","https://www.boletinoficial.gob.ar/detalleAviso/primera/245768/20210617?busqueda=2","BOLETIN OFICIAL REPUBLICA ARGENTINA - ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS - Resolución General 5009/2021","https://www.boletinoficial.gob.ar/detalleAviso/primera/245768/20210617?busqueda=2 | https://www.tc.gob.pe/jurisprudencia/2026/01522-2025-AC.pdf | https://tc.gob.pe/jurisprudencia/2024/03126-2023-AA.pdf | https://img.lpderecho.pe/wp-content/uploads/2022/10/Casacion-480-2022-Piura-LPDerecho.pdf | https://www.csjn.gob.ar/novedades/detalle/9382","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:16:48Z"
"""Desarrollar una arquitectura híbrida e interpretable que conecte revisiones estratégicas vecinales con""","5","false","https://www.fcirce.es/buscador","Buscador | CIRCE","https://www.fcirce.es/buscador | https://juandomingofarnos.wordpress.com/2025/05/23/planificacion-estrategica-en-ecosistemas-inteligentes-de-aprendizaje/ | https://juandomingofarnos.wordpress.com/tag/paradigma/ | https://juandomingofarnos.wordpress.com/tag/educacion/ | https://epdf.mx/analisis-y-propuestas-en-torno-al-periodismo-digital-spanish.html","Desarrollar una arquitectura híbrida e interpretable que conecte revisiones estratégicas vecinales con","5","3","https://sedici.unlp.edu.ar/handle/10915/195671","Arquitecturas híbridas explicables para sistemas de apoyo a la decisión clínica: evolución desde el modelado predictivo","https://sedici.unlp.edu.ar/handle/10915/195671 | https://www.sciencedirect.com/science/article/pii/S2352146526004606 | https://www.mdpi.com/2413-8851/10/5/275 | https://remca.umet.edu.ec/index.php/REMCA/article/download/1055/985/3308 | https://revistasonline.inap.es/index.php/REALA/user/setLocale/es_ES?source=%2Findex.php%2FREALA%2Farticle%2Fview%2F10188","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:16:52Z"
"""Las semillas 461000 461099 producen mundos pareados y ejecuciones de doce métodos""","0","false","","","","Las semillas 461000 461099 producen mundos pareados y ejecuciones de doce métodos","5","2","https://vandal.elespanol.com/guias/guia-minecraft-los-mejores-trucos-y-consejos-2018/semillas","Las MEJORES semillas de Minecraft (2026)","https://vandal.elespanol.com/guias/guia-minecraft-los-mejores-trucos-y-consejos-2018/semillas | https://terraria.wiki.gg/es/wiki/Semilla_del_mundo | https://www.semillas.org.co/apc-aa-files/5d99b14191c59782eab3da99d8f95126/cartilla-produccion-de-semillas_2024-web_2.pdf | https://mundoagricultura.com/semillas/ | https://es.stardewvalleywiki.com/Fabricaci%C3%B3n","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:16:56Z"
"""Los mercados para tareas complejas representan esta dependencia mediante descomposición y reasignación""","5","false","https://www.oecd.org/es/publications/perspectivas-economicas-de-america-latina-2023_5cf30f87-es/full-report/towards-a-new-structure-of-production-and-employment-the-role-of-investment_0dde9065.html","Hacia una nueva estructura de producción y empleo: el rol de la inversión: Perspectivas económicas de América Latina 2023 | OECD","https://www.oecd.org/es/publications/perspectivas-economicas-de-america-latina-2023_5cf30f87-es/full-report/towards-a-new-structure-of-production-and-employment-the-role-of-investment_0dde9065.html | https://www.campustudionline.com/contents/f76ef102-ea74-4113-9118-d7375e627808/ | https://www.corladchimboteperu.pe/index.php/publicaciones/glosario | https://www.insst.es/documentacion/colecciones-tecnicas/ntp-notas-tecnicas-de-prevencion/27-serie-ntp-numeros-926-a-960-ano-2012/notas-tecnicas-de-prevencion.-serie-27-n-926-a-960- | https://dof.gob.mx/nota_detalle_popup.php?codigo=5108390","Los mercados para tareas complejas representan esta dependencia mediante descomposición y reasignación","5","2","https://publications.iadb.org/publications/spanish/document/Mercados-y-desarrollo-como-la-competencia-puede-mejorar-vidas.pdf","60  MERCADOS Y DESARROLLO: CÓMO LA COMPETENCIA PUEDE MEJORAR VIDAS","https://publications.iadb.org/publications/spanish/document/Mercados-y-desarrollo-como-la-competencia-puede-mejorar-vidas.pdf | https://es.wikipedia.org/wiki/Red_jer%C3%A1rquica_de_tareas | https://www.redalyc.org/pdf/3783/378334193003.pdf | https://ccs.mit.edu/papers/ccswp174.html | https://santismm.com/es/patterns/task-prioritization","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:16:59Z"
"""P3 DX Opera con cargas activas y en cola cuyos requisitos abarcan""","0","false","","","","P3 DX Opera con cargas activas y en cola cuyos requisitos abarcan","5","2","https://www.boe.es/buscar/doc.php?id=BOE-A-2010-16441","BOE-A-2010-16441 Resolución de 27 de octubre de 2010, de la Secretaría de Estado de Energía, por la que se aprueban los procedimientos de operación del sistema P.O. 3.10, P.O. 14.5, P.O. 3.1, P.O. 3.2, P.O. 9 y P.O. 14.4 para su adaptación a la nueva normativa eléctrica.","https://www.boe.es/buscar/doc.php?id=BOE-A-2010-16441 | https://www.boe.es/buscar/doc.php?id=BOE-A-2012-3397 | https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-6215 | https://www.boe.es/buscar/act.php?id=BOE-A-2012-3397&p=20120310&tn=1 | https://www.br-automation.com/es/descargar/drive-technology/drive-systems/acopos-p3/acopos-p3-users-manual/","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:17:02Z"
"""Sus tres componentes son soporte fuerza y torque recluta y agrega desplazamiento""","1","false","https://id.scribd.com/document/493947459/1ACEMI","1ACEMI | PDF | Botella | Palabra","https://id.scribd.com/document/493947459/1ACEMI","Sus tres componentes son soporte fuerza y torque recluta y agrega desplazamiento","5","2","https://prometeo.matem.unam.mx/recursos/VariosNiveles/iCartesiLibri/recursos/Estatica_para_Ingenieros/index.html","Estática","https://prometeo.matem.unam.mx/recursos/VariosNiveles/iCartesiLibri/recursos/Estatica_para_Ingenieros/index.html | https://help.autodesk.com/cloudhelp/2025/ESP/Inventor-Help/files/GUID-56FCA4C9-AA12-4637-9369-0D26E1C283B3.htm | https://help.autodesk.com/cloudhelp/2014/ESP/Inventor/files/GUID-56FCA4C9-AA12-4637-9369-0D26E1C283B3.htm | https://es.wikipedia.org/wiki/Palanca | https://www.cobat.edu.mx/wp-content/uploads/sites/79/2022/08/Temas-Selectos-de-Fisica-I.pdf","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:17:04Z"
"""adopta una mejora estricta El resultado excluye revisiones simultáneas dos respuestas calculadas""","5","false","https://www.insst.es/documentacion/colecciones-tecnicas/ntp-notas-tecnicas-de-prevencion/27-serie-ntp-numeros-926-a-960-ano-2012/notas-tecnicas-de-prevencion.-serie-27-n-926-a-960-","Notas Técnicas de Prevención. Serie 27ª (nº 926 a 960)","https://www.insst.es/documentacion/colecciones-tecnicas/ntp-notas-tecnicas-de-prevencion/27-serie-ntp-numeros-926-a-960-ano-2012/notas-tecnicas-de-prevencion.-serie-27-n-926-a-960- | https://sumatogroup.com/casos-de-uso | https://pdfcoffee.com/enric-munar-atencion-y-percepcion-alianza-editorial-1999-7-pdf-free.html | https://www.gobiernodecanarias.org/boc/1997/021/001.html | https://normograma.legislacionarl.co/arl/compilacion/docs/circular_supersolidaria_0022_2020.htm","adopta una mejora estricta El resultado excluye revisiones simultáneas dos respuestas calculadas","5","2","https://johanpena.com/es/resources/ab-test-significance-calculator","Calculadora de significancia estadística para test A/B — Johan Peña","https://johanpena.com/es/resources/ab-test-significance-calculator | https://support.ptc.com/help/creo/creo_pma/r13/spanish/fundamentals/fundamentals/About_Simultaneous_Equations.html | https://sergiosallavera.es/blueprint-evaluar-modelos-ia/ | https://donnuab.com/blog/es/problema-del-peeking-en-tests-ab/ | https://statistics.tools/es/calculadora-significancia-prueba-ab","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:17:07Z"
"""almacén toman decisiones locales dentro de reglas logísticas de circulación despacho y""","5","false","https://ro.scribd.com/document/534315467/gestion-logistica","Comparativa Logística Militar y Empresarial | PDF | Negocios | Arte","https://ro.scribd.com/document/534315467/gestion-logistica | https://gpss-plus.com/ayuda/?lang=es | https://www.scribd.com/document/426812841/Manual-Logistico-de-la-Policia-pdf | https://www.scribd.com/document/773409435/2020-MATP-WE-18-1-03-T | https://materias.unc.edu.ar/87514641-c5e3-4af9-bb7e-331672e0200b.html","almacén toman decisiones locales dentro de reglas logísticas de circulación despacho y","5","2","https://blog.kellyservices.com.mx/externalizacion-procesos-logisticos-que-delegar","Externalización de procesos logísticos: qué operaciones conviene delegar y cuáles mantener internas","https://blog.kellyservices.com.mx/externalizacion-procesos-logisticos-que-delegar | https://virtual.urbe.edu/tesispub/0108333/Cap04.pdf | https://www.juntadeandalucia.es/boja/2026/103/63 | https://biblioteca.usac.edu.gt/tesis/08/08_3224_IN.pdf | https://www.tekipeo.es/blog/plan-de-circulacion-en-almacen-normativa-y-obligaciones-n66","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:17:10Z"
"""aplicada ni saturaciones de par El conjunto es demasiado pequeño para someter""","0","false","","","","aplicada ni saturaciones de par El conjunto es demasiado pequeño para someter","5","2","https://catedra.ing.unlp.edu.ar/electrotecnia/sispot/Libros%202007/libros/cme/vol-10/1capit19/cap-19.htm","satura","https://catedra.ing.unlp.edu.ar/electrotecnia/sispot/Libros%202007/libros/cme/vol-10/1capit19/cap-19.htm | https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1995.03615995005900010005x | https://www.imt.mx/archivos/publicaciones/publicaciontecnica/pt198.pdf | https://portal.ondac.com/601/articles-59858_doc_pdf.pdf | https://tesiunamdocumentos.dgb.unam.mx/pd2007/0613504/0613504.pdf","ORIGINAL","No exact phrase in returned snippets; open-query run below five words.","2026-09-08T23:17:13Z"
