experiment_id,scenario_generator,scenario_variant_id,seed,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n_robots,n_loads,demand_ratio,heterogeneous_robots,communication_radius,assigned_robots,assignment_cost,captured_reward,coalition_success_rate,coalition_time,communication_messages,demand_satisfaction_ratio,energy_proxy_wh,estimated_arrival_time_s,idle_robots,max_assigned_travel_distance_m,mean_assigned_travel_distance_m,method_file_tag,method_title,optimality_gap_vs_oracle,oracle_reward,oracle_runtime_ms,priority_regret,robots_overassigned,robots_underassigned,runtime_ms,served_load_rate,strategy_switches,travel_distance_m
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,17.356334737475763,4.17,1.0,1.0,18,1.0,86.78167368737881,11.907461236216701,3,7.739849803540856,5.785444912491921,baseline-classic-decentralized-greedy-nearest,Greedy nearest [baseline | classic | decentralized | nearest_greedy],0.0184374869337186,4.17,1.9913000287488103,0.0,0,0,0.08969998452812433,1.0,0,17.356334737475763
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,16.115782863169972,4.17,1.0,1.0,18,1.0,80.57891431584986,10.073563172890477,3,6.547816062378811,5.371927621056657,baseline-classic-centralized-hungarian-expanded,Hungarian expanded [baseline | classic | centralized | hungarian_expanded],0.0,4.17,1.9913000287488103,0.0,0,0,0.045599997974932194,1.0,0,16.115782863169972
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,16.115782863169972,4.17,1.0,1.0,18,1.0,80.57891431584986,10.073563172890477,3,6.547816062378811,5.371927621056657,reference-model-based-oracle-centralized-centralized-coalition-milp,Centralized coalition oracle [reference | model_based_oracle | centralized | exact_capacity_feasible_coalition],0.0,4.17,1.9913000287488103,0.0,0,0,2.1858999971300364,1.0,0,16.115782863169972
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,16.164300996313717,4.17,1.0,1.0,18,1.0,80.82150498156858,11.159404079625869,3,7.253612651756815,5.388100332104572,baseline-sota-decentralized-cbba,CBBA-like auction [baseline | sota | decentralized | cbba_like_auction],0.0007210923335122924,4.17,1.9913000287488103,0.0,0,0,3.734900034032762,1.0,0,16.164300996313717
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,replicator_cardinality,Replicator cardinality,model_based,decentralized,baseline,population_game_replicator,model_based_decentralized_baseline,model_based_tuning_optional,distributed_utility_rule,local_deficit_scores,0,0,4,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,17.356334737475763,4.17,1.0,1.0,18,1.0,86.78167368737881,11.907461236216701,3,7.739849803540856,5.785444912491921,baseline-model-based-decentralized-replicator-cardinality,Replicator cardinality [baseline | model_based | decentralized | population_game_replicator],0.0184374869337186,4.17,1.9913000287488103,0.0,0,0,0.24339999072253704,1.0,0,17.356334737475763
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,smith_cardinality,Smith cardinality,model_based,decentralized,proposed,smith_qr_cardinality,proposed_model_based_variation,model_based_tuning_optional,distributed_smith_qr_rule,local_capacity_scores,0,0,3,0,0,0,0,False,False,,none,6,3,0.5,False,inf,6,37.37509682636011,4.17,1.0,1.0,18,1.0,186.87548413180053,13.14412394779566,0,8.543680566067179,6.229182804393351,proposed-model-based-decentralized-smith-cardinality,Smith cardinality [proposed | model_based | decentralized | smith_qr_cardinality],0.3159628642175762,4.17,1.9913000287488103,0.0,3,0,0.26979995891451836,1.0,0,37.37509682636011
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,bnn_cardinality,BNN cardinality,model_based,decentralized,baseline,bnn_cardinality,model_based_decentralized_baseline,model_based_tuning_optional,distributed_nonlinear_utility_rule,local_deficit_scores,0,0,5,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,17.356334737475763,4.17,1.0,1.0,18,1.0,86.78167368737881,11.907461236216701,3,7.739849803540856,5.785444912491921,baseline-model-based-decentralized-bnn-cardinality,BNN cardinality [baseline | model_based | decentralized | bnn_cardinality],0.0184374869337186,4.17,1.9913000287488103,0.0,0,0,0.2210000529885292,1.0,0,17.356334737475763
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,primal_dual_cardinality_capacity,Primal-dual cardinality capacity,model_based,decentralized,proposed,primal_dual_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_capacity_rule,local_deficit_capacity_prices,0,0,4,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,16.164300996313717,4.17,1.0,1.0,18,1.0,80.82150498156858,11.159404079625869,3,7.253612651756815,5.388100332104572,proposed-model-based-decentralized-primal-dual-cardinality-capacity,Primal-dual cardinality capacity [proposed | model_based | decentralized | primal_dual_capacity],0.0007210923335122924,4.17,1.9913000287488103,0.0,0,0,0.5369000136852264,1.0,0,16.164300996313717
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,primal_dual_wrench_market,Primal-dual wrench market,model_based,decentralized,proposed,primal_dual_wrench_proxy,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_wrench_rule,local_deficit_capacity_wrench_prices,0,0,5,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,16.164300996313717,4.17,1.0,1.0,18,1.0,80.82150498156858,11.159404079625869,3,7.253612651756815,5.388100332104572,proposed-model-based-decentralized-primal-dual-wrench-market,Primal-dual wrench market [proposed | model_based | decentralized | primal_dual_wrench_proxy],0.0007210923335122924,4.17,1.9913000287488103,0.0,0,0,0.5177999846637249,1.0,0,16.164300996313717
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,local_primal_dual_wrench_market,Local primal-dual wrench market,model_based,decentralized_local,proposed,local_primal_dual_wrench_proxy,proposed_local_variation,model_based_tuning_optional,local_primal_dual_wrench_rule,radius_limited_local_scores,0,0,5,0,0,0,0,False,False,,none,6,3,0.5,False,inf,3,16.164300996313717,4.17,1.0,1.0,18,1.0,80.82150498156858,11.159404079625869,3,7.253612651756815,5.388100332104572,proposed-model-based-decentralized-local-local-primal-dual-wrench-market,Local primal-dual wrench market [proposed | model_based | decentralized_local | local_primal_dual_wrench_proxy],0.0007210923335122924,4.17,1.9913000287488103,0.0,0,0,0.519299996085465,1.0,0,16.164300996313717
SP1_MC_recruitment_comparison,under_demand,under_demand_v00,2000,imitation_oracle,Data-driven imitation oracle,data_driven,decentralized,baseline,oracle_imitation_linear,data_driven_baseline,supervised_oracle_imitation,distributed_linear_score_policy,local_robot_load_features,7,7,1,0,1000,200,200,False,False,sp1-imitation-linear-v1,supervised_or_static,6,3,0.5,False,inf,3,17.356334737475763,4.17,1.0,1.0,18,1.0,86.78167368737881,11.907461236216701,3,7.739849803540856,5.785444912491921,baseline-data-driven-decentralized-imitation-oracle,Data-driven imitation oracle [baseline | data_driven | decentralized | oracle_imitation_linear],0.0184374869337186,4.17,1.9913000287488103,0.0,0,0,0.7656000088900328,1.0,0,17.356334737475763
