scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,ranking_rule,demand_satisfaction_ratio_mean,coalition_success_rate_mean,served_load_rate_mean,optimality_gap_vs_oracle_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean
ALL_SCENARIOS,1,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8474426807760141,0.8455026455026455,0.8455026455026455,3.75527209856196e-18,1.5238095238095237,0.23809523809523808,31.040645370205205,14.124395797786104,155.20322685102607,24.095238095238095,2.7641809641546202
ALL_SCENARIOS,2,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8474426807760141,0.8455026455026455,0.8455026455026455,3.75527209856196e-18,1.5238095238095237,0.23809523809523808,31.040645370205205,14.124395797786104,155.20322685102607,24.095238095238095,2.867320635622101
ALL_SCENARIOS,3,mappo_recruitment,MAPPO recruitment checkpoint,data_driven,decentralized,proposed,mappo_ctde_quorum_decoder,proposed_data_driven_variation,ctde_ppo_with_bc_warm_start,decentralized_neural_actor_with_quorum_decoder,local_features_plus_centralized_training,4674,9411,12,768,1000,200,200,True,True,sp1-mappo-v5,sampled_policy,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8474426807760141,0.8455026455026455,0.8455026455026455,0.001428237728048605,1.5238095238095237,0.25396825396825395,30.694661538142487,14.120593194159087,153.47330769071246,23.063492063492063,14.150273016033074
ALL_SCENARIOS,4,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8904761904761903,0.7383597883597883,0.7383597883597883,0.2697311629600344,1.0952380952380953,0.0,31.98256321689031,15.990916369520761,159.91281608445158,23.063492063492063,0.1433126994275621
ALL_SCENARIOS,5,imitation_oracle,Data-driven imitation oracle,data_driven,decentralized,baseline,oracle_imitation_linear,data_driven_baseline,supervised_oracle_imitation,distributed_linear_score_policy,local_robot_load_features,7,7,1,0,1000,200,200,False,False,sp1-imitation-linear-v1,supervised_or_static,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8721781305114636,0.6880952380952381,0.6880952380952381,0.33337372636832857,1.2380952380952381,0.0,29.506240216350704,14.286058646225753,147.53120108175355,23.063492063492063,0.7108492030215169
ALL_SCENARIOS,6,primal_dual_cardinality_capacity,Primal-dual cardinality capacity,model_based,decentralized,proposed,primal_dual_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_capacity_rule,local_deficit_capacity_prices,0,0,4,0,0,0,0,False,False,,none,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8904761904761903,0.6902116402116402,0.6902116402116402,0.4401682466704451,1.0952380952380953,0.09523809523809523,33.14596127469232,15.376487798959701,165.7298063734616,23.063492063492063,0.6219222310132214
ALL_SCENARIOS,7,primal_dual_wrench_market,Primal-dual wrench market,model_based,decentralized,proposed,primal_dual_wrench_proxy,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_wrench_rule,local_deficit_capacity_wrench_prices,0,0,5,0,0,0,0,False,False,,none,63,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8904761904761903,0.6862433862433861,0.6862433862433861,0.4560699009277636,1.0952380952380953,0.09523809523809523,33.437015733127645,15.701063862882764,167.1850786656382,23.063492063492063,0.5675222270102018
balanced_demand,1,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,12,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.9375000000000001,0.8888888888888888,0.8888888888888888,9.93194613774005e-18,0.4166666666666667,0.3333333333333333,38.68229376998823,17.30947450947772,193.41146884994114,21.0,1.435358348923425
balanced_demand,2,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,12,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.9375000000000001,0.8888888888888888,0.8888888888888888,9.93194613774005e-18,0.4166666666666667,0.3333333333333333,38.68229376998823,17.30947450947772,193.41146884994114,21.0,1.5218416616941493
balanced_demand,3,mappo_recruitment,MAPPO recruitment checkpoint,data_driven,decentralized,proposed,mappo_ctde_quorum_decoder,proposed_data_driven_variation,ctde_ppo_with_bc_warm_start,decentralized_neural_actor_with_quorum_decoder,local_features_plus_centralized_training,4674,9411,12,768,1000,200,200,True,True,sp1-mappo-v5,sampled_policy,12,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.9375000000000001,0.8888888888888888,0.8888888888888888,0.0008324996610643227,0.4166666666666667,0.3333333333333333,38.743804010048564,17.338812235810966,193.7190200502428,21.0,8.520808381338915
