scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,ranking_rule,feasible_load_count_mean,completed_load_count_mean,task_completion_rate_mean,recovery_success_mean,recovery_time_s_mean,load_target_reached_rate_mean,mean_final_pose_error_m_mean,max_final_pose_error_m_mean,mean_final_orientation_error_deg_mean,max_final_orientation_error_deg_mean,lost_load_rate_mean,infeasible_load_count_mean,infeasible_load_detection_rate_mean,post_event_wrench_feasible_rate_mean,mean_wrench_residual_norm_mean,min_wrench_margin_mean,unsupported_time_s_mean,load_pause_time_s_mean,degraded_speed_time_s_mean,replacement_arrival_time_s_mean,final_assigned_loads_mean,final_idle_robots_mean,reassignment_count_mean,final_active_robot_rate_mean,failed_robot_count_mean,battery_margin_final_mean,min_battery_fraction_mean,communication_coverage_ratio_mean,communication_messages_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
ALL_SCENARIOS,1,reference_resilient_oracle,Reference centralized resilient recovery,model_based_reference,centralized,reference,centralized_resilient_recovery,reference_model_based_reference_centralized,none,centralized_resilient_recovery,global_state_and_event_observation,0,10,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.305,0.2275,0.19416666666666668,0.115,52.59132439762973,0.19416666666666668,6.889026388248926,7.605139981750048,16.444973809014815,19.362652021441054,0.8058333333333334,1.8425,0.8720833333333334,0.9857556283364013,3.9219255804345234,-0.09139031368904664,0.084,35.749700000000004,5.07605,0.34667094229697476,1.3125,2.7275,91.5225,0.9441944444444446,0.445,0.16935610697183492,0.3193561069718349,1.0,23809.48,372.1025,0.024578206513517227,488.17,-0.5569552072238737,-0.22139480315155488,-0.1762923107545625,215.45983937966832,26.060936068642626,0.20484831551098126,1697.7663392898744,0.472692580088237,0.759594711552501,0.0,322.15281025040895,-120.77498353034512,-120.77498353034512,0.0,0.0,0.0
ALL_SCENARIOS,2,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,model_based,decentralized,proposed,guarded_wrench_market_recovery,proposed_model_based_decentralized,model_based_tuning_optional,guarded_wrench_market_recovery,local_wrench_prices_and_repair,0,8,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.215,0.1975,0.18041666666666664,0.0875,52.48327265270264,0.18041666666666664,7.261586647853103,7.6668033644840605,17.86225492767179,20.087135818889823,0.8195833333333334,1.9325,0.8833333333333334,0.993100966852046,4.0819328290183465,-0.09395611706353389,0.09660000000000002,33.899950000000004,4.112150000000001,0.26582094229697484,1.24,2.81,136.95,0.9441944444444446,0.445,0.15114896932870076,0.3011489693287007,0.9093686956167986,21782.315,474.2325,0.031919574961556355,622.905,-0.5576482285007747,-0.22372184601633005,-0.16423813814373078,223.04908077960528,26.990293600342294,0.1944020313349079,1758.3360996415497,0.4897742542890759,0.759594711552501,0.0,327.1517110001878,-153.48898242589166,-120.77498353034512,-32.71399889554654,0.15665468319429698,0.15665468319429698
ALL_SCENARIOS,3,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.245,0.175,0.15916666666666665,0.0825,52.536668378787944,0.15916666666666665,7.717845238393623,8.205313339775005,19.680732031460465,22.134840506113186,0.8408333333333334,1.9025,0.9,0.9906161605724523,4.29847789579947,-0.09918573332366763,0.14,36.1144,3.8769500000000003,0.3057209422969749,1.2575,2.75,121.46,0.9438819444444445,0.4475,0.15363106231513252,0.3036310623151325,0.9098281668909752,21792.005,494.6075,0.03281259783537564,649.1375,-0.5607669270566566,-0.22329273811654726,-0.16591179251177782,221.44631161019194,26.779588963655115,0.19836429415955853,1745.3860946437312,0.4858369906524127,0.7430817830404902,0.0,326.7544954959885,-153.9259376540889,-120.77498353034512,-33.150954123743766,0.1433918173567546,0.1433918173567546
ALL_SCENARIOS,4,primal_dual_recovery,Primal-dual recovery,model_based,decentralized,proposed,primal_dual_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_primal_dual_recovery,local_dual_prices,0,6,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.2225,0.1825,0.16666666666666663,0.07,52.507014825968675,0.16666666666666663,7.726683079355091,8.166971857306038,20.10311634354481,22.258515507833263,0.8333333333333335,1.925,0.9033333333333334,0.9877713338678666,4.307895809475916,-0.11273664543920306,0.1274,35.14105000000001,4.0075,0.3008209422969751,1.2275,2.865,118.235,0.9445069444444445,0.4425,0.16022644889404195,0.31022644889404194,0.9107171177462908,21807.35,552.6675,0.03667967135229022,722.1,-0.5656760198668371,-0.22377958955927837,-0.1638961585356071,222.4282986437066,26.908690432243056,0.19767959448385333,1752.3153899798574,0.48860600497111273,0.7430817830404902,0.0,324.3706392479362,-158.67688145546464,-120.77498353034512,-37.90189792511951,0.1720316132299808,0.1720316132299808
ALL_SCENARIOS,5,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.225,0.17,0.15541666666666665,0.0675,52.50408881739173,0.15541666666666665,7.942785949376632,8.35398063750344,21.007886648132757,23.08794628319888,0.8445833333333335,1.9225,0.9004166666666665,0.9805835916952802,4.551343996667608,-0.11704886446375637,0.22610000000000002,35.8547,3.6417500000000005,0.43767094229697484,1.2425,2.88,102.295,0.9445069444444445,0.4425,0.15976505518697853,0.3097650551869785,0.9075892460947307,21742.615,539.3325,0.03553768486594215,701.5675,-0.565309337317236,-0.22438673656593416,-0.17332842219924446,222.24086594956745,26.878071796478697,0.19727515384190503,1751.0832774468252,0.48814782911403576,0.7430817830404902,0.0,320.05530850292416,-154.9770742545678,-120.77498353034512,-34.20209072422268,0.15185541054436172,0.15185541054436172
ALL_SCENARIOS,6,replicator_repair_recovery,Replicator repair recovery,model_based,decentralized,proposed,replicator_integer_repair,proposed_model_based_decentralized,model_based_tuning_optional,distributed_replicator_repair,local_payoff_and_repair,0,5,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.245,0.1625,0.14916666666666667,0.0675,52.50482840610729,0.14916666666666667,7.942493509619787,8.462128777192989,22.016423689262474,24.76663560046191,0.8508333333333334,1.9025,0.9095833333333334,0.9742565957860414,4.5657850470009596,-0.10421407954464092,0.21665000000000004,36.72655,3.7044000000000006,0.424720942296975,1.255,2.785,94.3,0.9445069444444445,0.4425,0.15798262820768516,0.3079826282076852,0.9076217567446292,21742.33,525.105,0.03449237108329927,685.575,-0.5652498978261166,-0.2253500837608117,-0.16785777935012236,222.5819355345123,26.91601960228216,0.19744095879404233,1752.5360225656434,0.4889031413151774,0.7430817830404902,0.0,320.20231300237356,-152.23506173680914,-120.77498353034512,-31.460078206464036,0.1344337039274951,0.1344337039274951
ALL_SCENARIOS,7,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.2625,0.16,0.14541666666666667,0.065,52.68366677989849,0.14541666666666667,8.12412506058289,8.687557505192984,23.216739508780122,26.115795596722442,0.8545833333333335,1.885,0.89875,0.976229354003015,4.431429891197926,-0.114786539339552,0.06720000000000001,38.012100000000004,3.61235,0.37327094229697494,1.2825,2.675,94.9025,0.9445069444444445,0.4425,0.16528992144766186,0.3152899214476618,1.0,23809.48,473.445,0.031039008417620355,620.66,-0.5631951102787397,-0.22506817239734175,-0.1647243456390298,220.87460705254242,26.71191537663925,0.19700130378941882,1738.1095032901026,0.4852465798299317,0.7265688545284793,0.0,319.2504932443262,-151.23304749467576,-120.77498353034512,-30.458063964330623,0.12744600793108926,0.12744600793108926
ALL_SCENARIOS,8,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.1525,0.01,0.005,0.0025,53.47743362971277,0.0325,9.524178345453624,9.903577421404885,31.92825072216395,33.708544471190514,0.9675,1.995,0.64125,0.8027613221333364,18.645087930126202,-0.25595341512573594,5.323150000000001,40.412400000000005,1.3349000000000002,1.0254448185200185,1.68,0.84,70.0875,0.9243958333333333,0.6025,0.12543189713199748,0.27543189713199745,1.0,23809.48,682.6225,0.049002614283740836,913.2375,-0.5760972064538233,-0.2245383188733183,-0.16567346400902433,237.53179407034003,28.563735309691197,0.17363427550662347,1875.6553748082233,0.5194217894495694,0.7430817830404902,0.0,332.0454622467514,-228.19653618990088,-120.77498353034512,-107.42155265955574,0.32474020563251704,0.32474020563251704
ALL_SCENARIOS,9,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,classic,decentralized,baseline,local_greedy_recovery,baseline_classic_decentralized,none,local_greedy_recovery,local_load_robot_state,0,2,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.2725,0.0075,0.00625,0.0,54.68646441358584,0.01125,9.432495308654238,10.076002512608285,29.543921785775865,32.84032291801182,0.98875,1.875,0.6583333333333334,0.7891157603033057,18.12803642027815,-0.26027267635986745,5.048050000000001,43.80915000000001,2.2270499999999998,1.1758789414332427,1.7625,0.8825,58.06,0.9263402777777778,0.5875,0.13827972637372615,0.2882797263737262,0.9012358316852587,21597.265,569.15,0.041749429058871225,731.11,-0.5722220193056498,-0.2258423429154355,-0.1653167345763174,226.54020825581244,27.263794904049973,0.1786272279035981,1788.957598210595,0.49649678217522847,0.7100559260164683,0.0,329.98521649627946,-212.84268966642375,-120.77498353034512,-92.06770613607858,0.2690372886374451,0.2690372886374451
ALL_SCENARIOS,10,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,400,"maximize recovery success and feasible-load completion, minimize lost loads and reference gap, then minimize collisions, recovery time, energy, messages and runtime",1.175,0.005,0.0025,0.0,53.90473786442563,0.0225,9.610940175510816,10.034496023328135,31.07500169249892,33.04079722344195,0.9775,1.9725,0.6416666666666667,0.8253068371037041,19.12481124355215,-0.24259510451425825,5.4089,40.8156,1.72445,0.9134377717561716,1.71,0.9525,84.39,0.9436319444444444,0.45,0.14195970857768975,0.29195970857768977,0.9189494528850605,22002.415,665.3125,0.04788450329609781,847.305,-0.5724788803146855,-0.2254191862761515,-0.16146808620961273,233.32040506041056,28.021960747168265,0.17613022543514345,1841.8097541772713,0.5083856304890637,0.7265688545284792,0.0,330.76351125520887,-229.5629985043294,-120.77498353034512,-108.78801497398425,0.3306710813674961,0.3306710813674961
