key,entry_type,doi,url,query,top_result_url,http_status,s2_status,s2_http_status,source_title,source_authors,source_venue,source_volume,source_pages,source_years,title_similarity,author_match,year_match,venue_match,volume_match,pages_match,existence_verdict,bibliographic_verdict,checked_at_utc,notes
activmedia2003pioneer,manual,,https://people.isy.liu.se/rt/andrecb/fidodido/doc/RobotManual.pdf,https://people.isy.liu.se/rt/andrecb/fidodido/doc/RobotManual.pdf,https://people.isy.liu.se/rt/andrecb/fidodido/doc/RobotManual.pdf,0,NOT_APPLICABLE,,Pioneer 3 and Pioneer 2 H8-Series Operations Manual,"ActivMedia Robotics, LLC","Operations Manual, version 3",,,2003,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,"Manual primario, versión 3, agosto de 2003. Su licencia prohíbe redistribuir el PDF; solo se cita. Verificado el 2026-09-08."
alonsomora2017transport,article,10.1177/0278364917719333,https://doi.org/10.1177/0278364917719333,https://api.crossref.org/works/10.1177%2F0278364917719333,https://doi.org/10.1177/0278364917719333,200,S2_VERIFIED,200,Multi-robot formation control and object transport in dynamic environments via constrained optimization,alonso mora;baker;rus,The International Journal of Robotics Research,36,1000-1021,2017,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
ames2017cbf,article,10.1109/TAC.2016.2638961,https://doi.org/10.1109/TAC.2016.2638961,https://api.crossref.org/works/10.1109%2FTAC.2016.2638961,https://doi.org/10.1109/TAC.2016.2638961,200,S2_VERIFIED,200,Control Barrier Function Based Quadratic Programs for Safety Critical Systems,ames;xu;grizzle;tabuada,IEEE Transactions on Automatic Control,62,3861-3876,2016;2017,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
an2023cooperativeReview,article,10.1109/OJCS.2023.3238324,https://doi.org/10.1109/OJCS.2023.3238324,https://api.crossref.org/works/10.1109%2FOJCS.2023.3238324,https://doi.org/10.1109/OJCS.2023.3238324,200,S2_VERIFIED,200,"Multi-Robot Systems and Cooperative Object Transport: Communications, Platforms, and Challenges",an;wu;lin;lin;yoshinaga;ji,IEEE Open Journal of the Computer Society,4,23-36,2023,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
awsRobomakerWarehouse2021,online,,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world,200,NOT_APPLICABLE,,aws-robotics/aws-robomaker-small-warehouse-world,Amazon Web Services,GitHub,,,2021,0.8434,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,"Repositorio primario bajo MIT-0, archivado el 2026-07-21 tras fin de soporte de AWS RoboMaker. Verificado el 2026-09-08."
azadeh2019warehouse,article,10.1287/trsc.2018.0873,https://doi.org/10.1287/trsc.2018.0873,https://api.crossref.org/works/10.1287%2Ftrsc.2018.0873,https://doi.org/10.1287/trsc.2018.0873,200,S2_VERIFIED,200,Robotized and Automated Warehouse Systems: Review and Recent Developments,azadeh;de koster;roy,Transportation Science,53,917-945,2019,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
balch1998behavior,article,10.1109/70.736776,https://doi.org/10.1109/70.736776,https://api.crossref.org/works/10.1109%2F70.736776,https://doi.org/10.1109/70.736776,200,S2_NOT_FOUND,200,Behavior-based formation control for multirobot teams,balch;arkin,IEEE Transactions on Robotics and Automation,14,926-939,1998;2002,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
barer2014ecbs,article,10.1609/socs.v5i1.18315,https://doi.org/10.1609/socs.v5i1.18315,https://api.crossref.org/works/10.1609%2Fsocs.v5i1.18315,https://ojs.aaai.org/index.php/SOCS/issue/view/434,200,S2_VERIFIED,200,Suboptimal Variants of the Conflict-Based Search Algorithm for the Multi-Agent Pathfinding Problem,Max Barer; Guni Sharon; Roni Stern; Ariel Felner,Proceedings of the Seventh Annual Symposium on Combinatorial Search,5,19-27,2014,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,El número oficial de SoCS confirma 2014 y páginas 19--27; Crossref expone una fecha de migración posterior. Verificado el 2026-09-08.
barreiro2017distributed,article,10.1109/TSMC.2016.2523934,https://doi.org/10.1109/TSMC.2016.2523934,https://api.crossref.org/works/10.1109%2FTSMC.2016.2523934,https://doi.org/10.1109/TSMC.2016.2523934,200,S2_VERIFIED,200,Distributed Population Dynamics: Optimization and Control Applications,Julian Barreiro-Gomez; German Obando; Nicanor Quijano,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",47,2986-2997,2017,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,DOI y texto primario institucional concordantes; Crossref conserva paginación de publicación anticipada. Verificado el 2026-09-08.
bertsekas1988Auction,article,10.1007/BF02186476,https://doi.org/10.1007/BF02186476,https://api.crossref.org/works/10.1007%2FBF02186476,https://doi.org/10.1007/BF02186476,200,S2_VERIFIED,200,The auction algorithm: A distributed relaxation method for the assignment problem,bertsekas,Annals of Operations Research,14,105-123,1988;2005,1.0,True,True,True,True,True,VERIFIED,VERIFIED,2026-09-08T23:09:36+00:00,Crossref metadata matched.
