source_path,locator,label,type,assumptions,domain,units,proof_status,dependencies,counterexample_check,claim_id,evidence_id,verdict,rationale,auditor,result_id,title,recommended_destination
"paper/sec_modelo_fisico.tex","L266-L272","pr:fuera-eje","proposicion","Declara a distinto de cero y un offset rígido; faltan una longitud de referencia y límites de velocidad o rueda.","Cinemática instantánea de un uniciclo diferencial y de un punto solidario adelantado; no cubre dinámica, saturación ni contacto.","Las columnas de M multiplican m/s y rad/s; comparar los valores singulares 1 y |a| en SI exige escalar la coordenada angular con una longitud.","COMPLETE_WITH_UNIT_GAP","eq:fuera-eje; definición del punto h; convención de S y R.","Con a=0, M pierde rango. Para a distinto de cero la sobreyectividad es correcta, pero sigma_min=min(1,|a|) no es una medida física invariante sin normalización.","NONE","NONE","CANDIDATE","La prueba algebraica establece invertibilidad y la ley 1/a, pero el enunciado de condicionamiento mezcla unidades y no enlaza un límite ejecutable.","formal_audit_c","PAPER-FR-0101-pr:fuera-eje","La no holonomía no restringe al punto de contacto","monograph-candidate"
"paper/sec_modelo_fisico.tex","L301-L316","pr:huella-transversal","proposicion","Requiere extender sin singularidad los cocientes en f3=0, que el cuerpo esté referido al centro del disco R_b y que las cotas de pose valgan simultáneamente.","Comparación de dos poses de un mismo cuerpo compacto planar; la orientación no representa por sí sola una dinámica realizable.","epsilon_1, epsilon_p y R_b están en m; epsilon_2 y epsilon_phi en rad; delta_b está en m.","ABSENT_BUT_DERIVABLE","definición de funciones transversales; desigualdad 2|sin(a/2)|<=|a|; cota de desplazamiento de una rotación.","Si el disco no está centrado en la referencia o las cotas solo valen en muestras, la inflación no protege toda la huella. La fórmula adicional debería acotar la distancia, no redefinir delta_b mediante otra desigualdad.","NONE","NONE","CANDIDATE","Las cotas se derivan por norma y desigualdad triangular, pero la fuente no ofrece prueba, convención en f3=0 ni contrato temporal de los errores.","formal_audit_c","PAPER-FR-0102-pr:huella-transversal","Del error transversal a una huella segura","monograph-candidate"
"paper/sec_modelo_fisico.tex","L413-L422","pr:pad-energia","proposicion","Acoplamiento isotrópico escalar, fuerzas opuestas en el mismo punto, convención de potencia declarada, k_i y d_i positivos y régimen adherido.","Contacto bilateral elástico-amortiguado en una carta planar; no incluye pérdida de adherencia, impacto ni saturación.","f en N, u en m/s, k en N/m, d en N s/m y almacenamiento en J; ambos lados son W.","COMPLETE","eq:pad; cinemática dot(epsilon)=-u+Omega S epsilon; antisimetría de S.","Una rigidez anisótropa que no conmute con S deja un término giroscópico no nulo; al perder adherencia la identidad del pad ya no describe el contacto.","NONE","NONE","CANDIDATE","La sustitución cancela exactamente el término elástico y prueba pasividad en el modelo isotrópico, pero no existe claim ni evidencia canónica para migrarlo.","formal_audit_c","PAPER-FR-0103-pr:pad-energia","Identidad energética del \emph{pad} isotrópico","monograph-candidate"
"paper/sec_modelo_fisico.tex","L442-L455","pr:ruta-ruedas","proposicion","Velocidad de pivote no nula, ruta de carga continuamente diferenciable, contacto rígido en el pivote, rama de rumbo continua y convención diferencial de rueda.","Levantamiento cinemático de una trayectoria rígida de carga a AMR diferenciales; antes de par, aceleración, fricción y contacto.","u_i en m/s, dot(u_i) en m/s2, omega_i y ruedas en rad/s, r_i y b_i en m.","COMPLETE","C-SP2-N1-KIN-FORMAL; ecuaciones activas de velocidad/aceleración de pivote, alineación, tasa de rumbo y ruedas.","u_i=0 hace singular la tasa de rumbo; el resultado activo conserva expresamente esa frontera y añade límites de rueda y continuidad de rama.","C-SP2-N1-KIN-FORMAL","Subdocuments/SP2/sp2.tex; tests/test_sp2_canonical.py","DUPLICATE","El spine activo contiene la misma elevación, una equivalencia si y solo si más precisa, la cota de ruedas y su prueba; no debe migrarse como resultado independiente.","formal_audit_c","PAPER-FR-0104-pr:ruta-ruedas","Levantar una ruta de carga hasta cada rueda","existing-active-claim"
"paper/sec_modelo_fisico.tex","L496-L510","th:cerco","teorema","Polígono de centros simple, cerrado y no degenerado; referencia inicialmente interior y libre; trayectorias continuas; discos rígidos de AMR y disco contenido en la carga para toda orientación.","Certificado suficiente de confinamiento planar de la referencia de una carga rígida; no certifica force closure, control de pose ni robustez a incertidumbre.","Posiciones y radios en m; área no nula en m2; las desigualdades comparan distancias.","COMPLETE","def:jaula; discos prohibidos inflados; teorema de la curva de Jordan.","Una arista sin cobertura, un polígono autointersecado o la pérdida del disco inscrito permite que el argumento falle. El criterio es suficiente, no necesario.","NONE","NONE","CANDIDATE","La prueba cubre toda la frontera poligonal con regiones prohibidas y aplica Jordan correctamente; aún carece de claim, test y vínculo de evidencia canónico.","formal_audit_c","PAPER-FR-0105-th:cerco","Cerco por polígono de centros","monograph-candidate"
"paper/sec_modelo_fisico.tex","L522-L527","co:cerco-movil","corolario","Hereda th:cerco, pertenencia interior inicial y ausencia de colisión; exige evolución continua, polígono simple no degenerado y cobertura de cada segmento en todo instante.","Cerco planar móvil; no cubre saltos, reconfiguración discreta, errores de pose ni retardo entre muestras.","Posiciones y radios en m; continuidad temporal sin unidad adicional.","DERIVED","PAPER-FR-0105-th:cerco; invariancia de interior bajo una curva simple móvil continuamente deformada.","Si el polígono degenera, cambia de orden o abre una brecha entre muestras, la referencia puede pasar al exterior sin que el certificado muestreado lo detecte.","NONE","NONE","CANDIDATE","Es una consecuencia topológica razonable de la barrera móvil, pero la fuente no formaliza la homotopía temporal ni un margen robusto.","formal_audit_c","PAPER-FR-0106-co:cerco-movil","Cerco móvil condicionado","monograph-candidate"
"paper/sec_modelo_fisico.tex","L609-L621","th:grado-relativo-rueda","teorema","Modelo SISO longitudinal suave, coeficientes positivos, estados no conmutados y entrada de par sin saturación; para d_t=0 se exige k_t>0.","Cadena ideal rueda-suelo-AMR-pad-carga en una dimensión; no se transfiere a la planta multivariable ni a contactos híbridos.","Cada coeficiente debe convertir N m a m/s elevado a 3, 4 o 5 según la salida; la fuente no tabula las unidades de c_g, d_t y b.","COMPLETE_WITH_GAPS","sistema longitudinal declarado; definición de grado relativo; derivación simbólica narrada.","d_t=0 anula la vía de cuarto orden y k_t=0 desacopla la carga; saturación o pérdida de contacto invalida el grado relativo local.","NONE","NONE","CANDIDATE","La cadena de derivadas y los coeficientes son coherentes con el modelo ideal, pero faltan auditoría dimensional explícita, artefacto simbólico y enlace de evidencia.","formal_audit_c","PAPER-FR-0107-th:grado-relativo-rueda","El grado relativo incluye las ruedas","monograph-candidate"
"paper/sec_multiclase.tex","L38-L49","th:multiclase","teorema","Demandas fijas, flujos no atómicos, subgrafos por clase, p_c positivo y costes diferenciables; para el converso hacen falta convexidad del coste social y condiciones KKT de frontera, no declaradas.","Asignación multiclase continua de tráfico por equivalentes de capacidad; no representa coaliciones atómicas ni clases endógenas durante la ruta.","p_c es adimensional, t_e es tiempo, y_e capacidad equivalente y el peaje p_c y_e t'_e tiene unidades de tiempo por unidad de flujo de clase.","INVALID_IN_PART","s:coste-clase; y_e=sum p_c x_e^c; conservación de demanda; teoría de peaje marginal.","Con una función y t(y) no convexa, una condición de Wardrop para el coste marginal puede ser estacionaria sin ser óptimo global. La prueba solo muestra que un óptimo interior satisface Wardrop.","NONE","NONE","CANDIDATE","La derivada marginal es correcta, pero la frase que hace socialmente óptimo todo encaminamiento egoísta necesita convexidad, condiciones de frontera y el converso KKT.","formal_audit_c","PAPER-FR-0108-th:multiclase","El peaje marginal por clase alinea el equilibrio con el óptimo","monograph-candidate"
"paper/sec_multiclase.tex","L91-L101","co:admision","corolario","Pretende heredar estabilidad local de una matriz de elasticidades en equilibrio; solo comprueba la fila de la carga candidata y no todas las filas activas tras admitirla.","Ajuste linealizado de precios con varias cargas; las elasticidades pueden cambiar con el conjunto activo.","E tiene unidades de servicio por precio y m debe compartirlas con la diagonal y las sumas de fila.","INVALID","pr:dominancia; matriz de elasticidades E; regla de admisión.","Tómese E11=1, E12=2, E22=3, E21=0 y m=0.5: la fila nueva satisface 3>=0+0.5, pero la fila existente deja de ser dominante porque 1<2.","NONE","NONE","REJECT","Comprobar solo la nueva fila no preserva dominancia diagonal de las filas existentes, por lo que la estabilidad citada no se sigue.","formal_audit_c","PAPER-FR-0109-co:admision","Control de admisión","archive-only"
"paper/sec_multiclase.tex","L173-L183","pr:rondas-color","proposicion","La cota Delta+1 exige un grafo de conflicto finito; la cota geométrica adicional hereda íntegramente pr:compatibilidad.","Coloración de conflictos; la primera desigualdad vale para cualquier grafo, la segunda pretende restringir grafos de disco por geometría.","d_min y R_com están en m y su cociente y el arco seno son adimensionales; los turnos son un conteo.","INVALID","PAPER-FR-0144-pr:compatibilidad; coloración voraz.","Con R_com=1 y d_min=0.2 caben 80 puntos de una rejilla de paso 0.2 dentro del disco y fuera del centro, todos separados al menos 0.2; la cota propuesta da solo 31.","NONE","NONE","REJECT","La parte cromática Delta+1 es correcta, pero la composición geométrica usa una cota de grado falsa; por ello el enunciado conjunto no vale.","formal_audit_c","PAPER-FR-0110-pr:rondas-color","Cota geométrica del número de turnos","archive-only"
