database,execution_id,query_id,window_id,exact_query,from_year,to_year,field_scope,export_format,access_status,notes
google_scholar,F01_primary,F01,primary,multi-robot coalition formation,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F02_primary,F02,primary,heterogeneous multi-robot task allocation,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F03_primary,F03,primary,game theoretic multi-robot task allocation,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F03_foundational,F03,foundational,game theoretic multi-robot task allocation,1940,1999,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F04_primary,F04,primary,distributed auction consensus multi-robot task allocation,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F05_primary,F05,primary,multi-robot cooperative payload transport,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F05_foundational,F05,foundational,multi-robot cooperative payload transport,1940,1999,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F06_primary,F06,primary,multi-robot shared load object transport,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F07_primary,F07,primary,multi-robot non-prehensile transport caging pushing,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F07_foundational,F07,foundational,multi-robot non-prehensile transport caging pushing,1940,1999,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F08_primary,F08,primary,multi-robot wrench contact force feasibility payload,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F08_foundational,F08,foundational,multi-robot wrench contact force feasibility payload,1940,1999,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F09_primary,F09,primary,distributed multi-robot formation docking cooperative transport,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F09_foundational,F09,foundational,distributed multi-robot formation docking cooperative transport,1940,1999,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F10_primary,F10,primary,decentralized leaderless multi-robot cooperative transport,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F10_foundational,F10,foundational,decentralized leaderless multi-robot cooperative transport,1940,1999,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F11_primary,F11,primary,multi-robot coordination packet loss delay switching topology,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F12_primary,F12,primary,multi-robot coalition failure recovery robot replacement transport,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F13_primary,F13,primary,multi-robot traffic planning carried payload warehouse,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F14_primary,F14,primary,multiple robot coalitions congestion coordination logistics,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F15_primary,F15,primary,heterogeneous robot capability heterogeneous load coalition,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
google_scholar,F16_primary,F16,primary,heterogeneous distributed coalition cooperative payload failure recovery,2000,2026,all fields; title/abstract screening,"BibTeX or CSV with title, authors, year, DOI, URL, abstract, citation count",manual_pending,Manual browser search only; do not use an automated scraper.
