paragraph_id,chapter,section,path,line_start,line_end,words,sentences,text,normalized_sha256,query_fragment,sample_rank,sampled,exact_query,unquoted_query,search_status
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:8:p002,Preliminares: Resumen,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,8,14,74,3,"La propuesta combina referencias LP/MILP, juegos potenciales, dinámica primal--dual, cierre entero y contratos de recursos, contacto, movimiento, recuperación y red. Se prueban regulación de cuotas, estabilidad local de Cargo bajo contacto fijo y realización exacta del wrench, terminación de mejoras de rutas e imposibilidad de garantizar optimalidad global cuando la desconexión oculta instancias localmente indistinguibles con óptimos incompatibles. Las campañas usan mundos pareados, semillas explícitas y oráculos globales identificados como techos experimentales.",77056be9a75753b7a644685509218c859896a56f6c15a2ced30b7eb9d8feb24a,propuesta combina referencias LP MILP juegos potenciales dinámica primal dual cierre entero,8c3081aacf31832ba6094eb7fd88c8179e93b90881a93d06868393ccb4989a82,True,"""propuesta combina referencias LP MILP juegos potenciales dinámica primal dual cierre entero""",propuesta combina referencias LP MILP juegos potenciales dinámica primal dual cierre entero,ORIGINAL
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:16:p003,Preliminares: Resumen,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,16,23,81,4,"SP1 regula cuotas bajo condiciones explícitas, separa la capacidad heterogénea y reduce falsos factibles nominales en la interfaz SP1--SP2. SP2 revela un intercambio adverso entre seguridad y progreso y restaura los certificados recuperables del banco estático; en su juego de reparación, el peor equilibrio no admite una cota uniforme. En SP3, la reserva reduce interbloqueos en el catálogo discreto; el piloto congestionado no entrega. Cargo completa casi todas las misiones sin ejecutar como una sola cadena todos los mecanismos teóricos.",ea5eaa1792a0fba045e7fa0209d3942a573382a6195806c6ef3da0710ebdb5f9,factibles nominales en la interfaz SP1 SP2 SP2 revela un intercambio adverso,86fa6a9b4d5ac16992ab58ea86b39e2c1a49889aa8e0ee97a0c288adee186c83,True,"""factibles nominales en la interfaz SP1 SP2 SP2 revela un intercambio adverso""",factibles nominales en la interfaz SP1 SP2 SP2 revela un intercambio adverso,ORIGINAL
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:1:p001,Preliminares: Abstract,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,1,6,45,2,"Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems: SP1 forms coalitions and assigns roles; SP2 approaches, docks, transports, and replaces members; SP3 coordinates routes and reservations across missions. The primary Cargo mode models a supported payload as a planar rigid body.",4e96453d0b492bcd95bab2b963d470400fa9915d0b78f4f62c470172e69a7673,Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems,0b747b360d279fd1190ba81fa6a65cf4094a0afb3ad3c7a432b8c9dfd45e70d9,True,"""Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems""",Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems,ORIGINAL
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:25:p004,Preliminares: Abstract,(sin encabezado local),pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,25,29,43,3,"The contribution is a verifiable architecture of contracts and local games, together with a planar functional composition. It does not establish global hybrid stability, social optimality, fully distributed coordination, or industrial validity. Instrumented contact, hardware, and caging remain outside the reported confirmatory evidence.",6ffcfcafb41bacdd0d203c0d619e5589d6635d861573be1a7a4f52c289816e56,hybrid stability social optimality fully distributed coordination or industrial validity Instrumented contact,0c6f198d3c00703b4d10a8134791433550182a4e1999338b67236054d50e9dfc,True,"""hybrid stability social optimality fully distributed coordination or industrial validity Instrumented contact""",hybrid stability social optimality fully distributed coordination or industrial validity Instrumented contact,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/01-introduction.tex:4:p001,1. Introducción,Introducción,pre-thesis/sections/source-snapshot/mainmatter/01-introduction.tex,4,11,67,3,"La IFR registró 102\,900 robots de servicio para transporte y logística en 2024: un 14\,% más que el año anterior y más de la mitad de las unidades profesionales de su muestra . En almacenes, Kiva documentó la coordinación de flotas para mover estanterías ; Geek+ y MiR ofrecen soluciones comerciales para preparación de pedidos y transporte interno . Estas aplicaciones se benefician de interfaces repetibles y recorridos conocidos.",8364cd996b026f87321ae3c349cebc06d6760d55b1c5597906638cacfe531004,mover estanterías Geek y MiR ofrecen soluciones comerciales para preparación de pedidos,5acd72a5b335f648bfa79f5d23581d2e48a89b2f55bb9f733c44fef306f58306,True,"""mover estanterías Geek y MiR ofrecen soluciones comerciales para preparación de pedidos""",mover estanterías Geek y MiR ofrecen soluciones comerciales para preparación de pedidos,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/01-introduction.tex:19:p003,1. Introducción,Introducción,pre-thesis/sections/source-snapshot/mainmatter/01-introduction.tex,19,27,67,4,"La asignación multi-robot aporta las variables para seleccionar participantes , y los modelos de coalición representan el valor de una composición . Esa salida lógica es solo la primera interfaz. El equipo debe ocupar contactos compatibles antes de producir el wrench requerido; después, el control regula la pose bajo los límites de los actuadores . Un fallo en cualquiera de esas interfaces reabre la selección o detiene la tarea.",8a9d6d2e979db9f5500713c257976ab22594275bc8a9922f0c2229fbb662ff0e,equipo debe ocupar contactos compatibles antes de producir el wrench requerido después,22fac27f916e95e04d82d80fddbda274535b68bfbdb7c3701d7a764c14eaab1c,True,"""equipo debe ocupar contactos compatibles antes de producir el wrench requerido después""",equipo debe ocupar contactos compatibles antes de producir el wrench requerido después,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/01-introduction.tex:48:p006,1. Introducción,Introducción,pre-thesis/sections/source-snapshot/mainmatter/01-introduction.tex,48,54,70,5,"Este trabajo especifica la entrada y la salida de cada interfaz. Los robots revisan decisiones a partir de su estado y de mensajes vecinales. El cierre entero y varios cálculos por carga consultan agregados globales; el registro del simulador también resuelve identificadores fuera del vecindario. Por eso la implementación evaluada es híbrida. Los optimizadores centralizados solo fijan referencias en instancias acotadas, y su ventaja informativa se declara en cada comparación.",cfda4959ffd2f5c2bab6a97c49e922d5561e774a3ccd94702a9a60f91d505785,optimizadores centralizados solo fijan referencias en instancias acotadas y su ventaja informativa,748bfe6d64deb9a0bb22b738a067b49f654a21cd1ee9adcfd7ca7c981a48dd7e,True,"""optimizadores centralizados solo fijan referencias en instancias acotadas y su ventaja informativa""",optimizadores centralizados solo fijan referencias en instancias acotadas y su ventaja informativa,ORIGINAL
pre-thesis/sections/intro-contracts.tex:4:p001,Otro,Contrato entre decisión y transporte,pre-thesis/sections/intro-contracts.tex,4,10,64,3,"Una revisión local consulta el estado del AMR y mensajes vecinales; el cierre entero y la infraestructura compartida añaden las dependencias globales que se declaran en la metodología. En transporte colectivo, el valor de incorporar a depende de , de su llegada y del contacto disponible. Los mercados para tareas complejas representan parte de esa dependencia ; la coalición física exige además concurrencia en contactos compatibles.",320726b6c70bf323e38cc3c0b76f8edbd823bbf363c15b00749009e463dd25eb,contacto disponible Los mercados para tareas complejas representan parte de esa dependencia,02972aec2c9d40fbe40cc97ce2e42599cb893a1a4e406ce55ca1613f5de7bd2a,True,"""contacto disponible Los mercados para tareas complejas representan parte de esa dependencia""",contacto disponible Los mercados para tareas complejas representan parte de esa dependencia,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/02-objectives.tex:10:p002,2. Objetivos,Objetivo general,pre-thesis/sections/source-snapshot/mainmatter/02-objectives.tex,10,14,48,2,"Desarrollar una arquitectura híbrida e interpretable que conecte revisiones estratégicas vecinales con cierre entero y guardias físicas para el transporte cooperativo de cargas heterogéneas. Su evaluación comparará factibilidad, calidad operacional y coste de información con referencias globales, y registrará la respuesta ante obstáculos, fallos y degradación de red.",d629cdf389f57efa5d8e4548ae9c8bd2c78780262cf8e141d4ef9ce937d5e5f2,Desarrollar una arquitectura híbrida e interpretable que conecte revisiones estratégicas vecinales con,505536d21429d904bfad658a49c19741c58255f4f02c5e187988bee28493226a,True,"""Desarrollar una arquitectura híbrida e interpretable que conecte revisiones estratégicas vecinales con""",Desarrollar una arquitectura híbrida e interpretable que conecte revisiones estratégicas vecinales con,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/02-objectives.tex:26:p003,2. Objetivos,Objetivos específicos,pre-thesis/sections/source-snapshot/mainmatter/02-objectives.tex,26,29,44,2,Formalizar la transición desde la asignación homogénea uno a uno hasta las cuotas variables y el servicio heterogéneo. Para cada caso se determinarán las condiciones de equilibrio y cierre; los experimentos medirán factibilidad y brecha respecto de la referencia global en abundancia y escasez.,d8c43231cb8832d462ff1d24005a4494d47e704f509eef416b80bdba54bd9ab1,transición desde la asignación homogénea uno a uno hasta las cuotas variables,93bdd160e586d4d33b89047c95bf8778c709990c0998ab62d399be1410f8bd61,True,"""transición desde la asignación homogénea uno a uno hasta las cuotas variables""",transición desde la asignación homogénea uno a uno hasta las cuotas variables,ORIGINAL
