"unit_id","path","sha256","temas_ideas_dominantes","paginas_secciones_localizables","sp_scope","solapamiento_thesis_paper","claim_ids","destino","decision","evidencia_faltante","racional"
"SRC-32584f218d873480","material/compendios/CFRD_Dossier_Teorico_Avanzado_Transactions_2026 (1).pdf","1a8c235fda942a810e4b1ad35edc20e714b5f76050e5c089a0aa3551bfc81bb5","CFRD; grafo de fibra y revisiones por bloques; potencial exacto; orden coalicional h; Fiber-Logit/Gibbs; robustez a información obsoleta; programa confirmatorio","pp.27-49: modelo atómico, potencial y CFRD; pp.50-70: GNE, mezcla y control híbrido; pp.72-115: campañas y escalabilidad; pp.117-140: claims, auditoría y pruebas","SP1;transversal","Tesis: solapamiento temático parcial con potencial finito y límite informacional; paper: alto con la familia formal CFRD, sin identidad semántica certificada","","monograph","candidate","Auditoría formal resultado por resultado; correspondencia con código, configuraciones y RAW; verificación bibliográfica primaria; contraejemplos para las extensiones híbridas y estocásticas","P1. Es el dossier especializado con mayor densidad de material SP1 no incluido en la memoria; solo deben extraerse resultados que superen la auditoría formal y de evidencia."
"SRC-b5d82989c338d837","material/compendios/Compendio_Definitivo_R4_MROB_ADACP_2026 (2).pdf","19002dfdaac7d193bc176165a242b446a35ca76cc61f5a95cbd8176bed962dad","A-DACP; información h-hop; SLAM cooperativo; CBF/HOCBF; conflicto 2D; ablaciones E0/G1; coste de coordinación","pp.13-22: modelos, información y seguridad; pp.24-42: benchmark, E0, A-DACP y G1; pp.43-60: teoría temporal, integración y resultados; pp.62-80: atlas y bibliografía","SP3;transversal","Tesis: parcial con red, seguridad y tráfico; paper: medio con la rama predictiva/económica; R5 repite y amplía la mayor parte","","archive-only","superseded","No se requiere promover esta revisión; cualquier delta frente a R5 necesita diff de secciones y enlace a artefactos ejecutados","R4 queda como historial de falsaciones y nomenclatura. R5 es la revisión documental preferente; conservar R4 para procedencia, no para redactar resultados."
"SRC-9c91bed248887adb","material/compendios/Compendio_Definitivo_R5_MROB_ADACP_Teoria_Avanzada_2026.pdf","4f34207fd8ecf6ad248653925078be1190de8390688cfdf7c02a463549800542","A-DACP; GNE de misión; autoridad de wrench; juego temporal; control seguro; ejecución digital; recuperación y Cargo","pp.14-23: planta, información y HOCBF; pp.25-42: benchmark y ablaciones; pp.43-66: teoría avanzada I-V; pp.67-78: integración, límites y cierre","SP2;SP3;transversal","Tesis: parcial con control, Cargo y tráfico; paper: alto con el MegaGame y resultados formales candidatos; contiene R4 más extensiones","","monograph","candidate","Separar del núcleo R4 los deltas R5; auditar GNE, sampled-data y HOCBF; enlazar cada cifra con RAW/configuración; verificar referencias","P2. Fuente de ideas para la monografía, en especial límites y resultados negativos. No es evidencia independiente ni autoriza trasladar garantías al sistema completo."
"SRC-6c9c4930ac01451e","material/compendios/Compendio_Integral_Chat_TFM_MROB_AMR_A-DACP_2026.pdf","71e1545ec727d8046663fbf104ea5294addc865d198a922932c64faa73a7b2c2","Relato de chat sobre ADACP-MPC; SLAM; seguridad; E0/G1; diseño de conflicto; auditorías y cambio de interpretación","pp.10-20: mapa, planta e información; pp.24-45: conflicto, A-DACP y G1; pp.46-53: enlace al TFM, límites y síntesis; pp.54-72: tablas y artefactos","SP3;transversal","Tesis: parcial con el arco metodológico; paper: medio; gran solapamiento interno con R4/R5","","archive-only","superseded","No aplicable como soporte; para rescatar una idea se exige fuente primaria o derivación propia, implementación trazable y resultado regenerable","Es una exportación conversacional, útil para reconstruir decisiones. R4/R5 y los artefactos del repositorio son fuentes candidatas más cercanas al estado técnico."
"SRC-ca9fecb0fd11eb9e","material/compendios/Compendio_Maestro_MROB_2026_DENSO_v2_100p (1).pdf","31724b4b05d7789383128aa6cd95f9da09ebd1943f86b8f031bacf24befacbe8","Síntesis N1-N4; CFRD; wrench y Cargo; active sets/N-1; PAPR-ST; arquitectura por contratos; resultados históricos SP0-SP8","pp.2-16: canon y síntesis científica; pp.17-20: marco/SOTA; pp.22-77: resultados SP0-SP8; pp.78-100: anexos y trazabilidad","SP1;SP2;SP3;transversal","Tesis: alto por estructura y campañas históricas; paper: alto por CFRD, wrench y PAPR-ST; gran contenido reaparece en compendios posteriores","","archive-only","superseded","Mapeo de cada cifra a datos/macros; auditoría de pruebas; comparación de versión contra la memoria actual; verificación de citas","Compendio de transición ya absorbido temáticamente por documentos posteriores. Se conserva para procedencia, sin reutilizar texto ni números fuera de sus generadores."
"SRC-c4de2cde436be1e7","material/compendios/desarrollo_cargo_push_GNE.pdf","97d5122e1e6f17997d5ffe77c35725db3814ea0eee8d54e7130d17055c662c6d","Dinámica de ruedas; separación Cargo/caging; puertos de potencia; GNE de torques; Lagrangiano; mercados de contacto; seguridad muestreada","pp.3-8: modelos de ruedas, Cargo y caging; pp.8-12: juego, GNE y precios; pp.12-16: seguridad, cálculo distribuido y gates","SP2","Tesis: parcial con contrato Cargo y separación de contactos; paper: medio con mercado de wrench y GNE","","monograph","candidate","Pruebas dimensionales y de existencia/convergencia; modelo de contacto ejecutable; sensores y actuación en Coppelia/MuJoCo; tests y datos de calibración","P1 para la derivación física extendida. Mantener Cargo bilateral y empuje unilateral como ramas distintas; ninguna ecuación del borrador vale como evidencia sin cierre formal y físico."
"SRC-bad67694708989fb","material/compendios/empuje_trasero_GNE.pdf","0f6d9a8c06928da5e7b9ea602f318d1f469b32c58fc4f39cbc25f88f5edd09ac","Empuje posterior unilateral; cono de wrench; capacidad geométrica; juego de presiones; precio mecánico; caging y caso negativo","pp.3-5: contacto y geometría; pp.5-8: planificación, juego y cálculo local; pp.9-11: experimento, negativo y límites","SP2","Tesis: bajo porque caging es extensión; paper: medio con contacto unilateral y complementariedad","","monograph","candidate","Banco físico separado de Cargo; contactos/fricción medidos; prueba auditada del cálculo local; RAW y configuración del experimento; criterio de confinamiento","P2. Conservar como extensión de caging en la monografía y como catálogo de contraejemplos; no usar para sostener la campaña Cargo primaria."
"SRC-beab593a2b13019e","material/compendios/Informe_GAP_AMR_Heterogeneos_TFM_PhD_2026.pdf","599da18ecce3483dfb82ebbe2489890408dff151f215fec6a266651f74111783","Taxonomía industrial L1-L5; estado académico; brecha de composabilidad física; claims a retirar; baselines y experimentos decisivos","pp.4-5: método y taxonomía; pp.6-11: estado industrial/académico; pp.12-15: gap y problemas abiertos; pp.16-20: experimentos, reviewers y fuentes","transversal","Tesis: alto con delimitación de novedad y metodología; paper: bajo/medio como posicionamiento; no se verificó fuente por fuente en este audit","","background","candidate","Verificación de cada afirmación industrial y académica contra fuente primaria y ledger; fechas, patentes y productos; separación de hecho, inferencia y agenda","P1 como lista de comprobación de novedad, no como literatura. Puede orientar la búsqueda bibliográfica, pero ninguna afirmación del informe se cita por sí sola."
"SRC-2dafcae631db0d73","material/compendios/Mega_Compendio_TFM_MROB_MegaJuego_2026.pdf","5c8b81abf0eb7578b7fb3a38d13eb48cb0ae7ed25148e2b9a2d796ac521cc28f","MegaJuego unificado; potencial poblacional; geometría wrench; mercado dual; seguridad; Cargo/caging; N-1; tráfico y red","pp.15-40: formulación común, contacto, resiliencia, tráfico y DVI; pp.41-58: evolución experimental y síntesis; pp.59-63: agenda/atlas; pp.64-211: material de soporte","SP1;SP2;SP3;transversal","Tesis: alto por las tres interfaces; paper: alto; ampliamente rehecho en M1, dossier integral y compendios posteriores","","archive-only","superseded","No promover; si aparece un delta único, requiere auditoría formal, evidencia RAW y comparación con M1 y paper","Documento de convergencia temprana. Sirve para rastrear la evolución del MegaJuego, pero las formulaciones posteriores corrigen y delimitan sus garantías."
"SRC-325e48b75e569319","material/compendios/MROB_Cruce_Negociado_Validacion (1).pdf","2e4cc63a63552cad5f5789dad092d4f2bed5a37a73f036b8a503837e464acf69","Cruce negociado; mensajes locales; decisión de paso; planta integrada; distinción Cargo/empuje; negativos","pp.2-3: escenario, juego y ecuaciones; pp.4-5: resultados, cambio de información y límites; p.6: reproducción","SP3","Tesis: parcial con juego de rutas y piloto AWS; paper: bajo/medio con turn-taking","","monograph","candidate","Localizar runner, configuración, semillas, RAW y métricas; repetir con baselines pareados e IC; verificar que la planta y la comunicación coincidan con el texto","P2. Informe corto potencialmente útil como caso de tráfico, condicionado a reproducibilidad; por sí solo no acredita seguridad, optimalidad ni distribución extremo a extremo."
