scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,method_allocator,transport_mode,n,ranking_rule,selected_task_load_mean,pickup_success_mean,target_reached_mean,transport_success_mean,final_position_error_m_mean,final_orientation_error_rad_mean,final_orientation_error_deg_mean,mean_position_error_m_mean,formation_integrity_rate_mean,formation_broken_rate_mean,max_formation_error_m_mean,mean_formation_error_m_mean,mean_wrench_residual_norm_mean,max_wrench_residual_norm_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_mobile_group_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,load_travel_distance_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,pickup_complete_time_s_mean,completion_time_s_mean,assigned_robots_mean,idle_robots_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
ALL_SCENARIOS,1,ours_hamiltonian_cargo,Ours Hamiltonian cargo,model_based,decentralized,proposed,hamiltonian_tensor_cargo,proposed_model_based_decentralized_cargo,model_based_tuning_optional,distributed_hamiltonian_cargo_transport,local_energy_wrench_formation_game,0,9,False,False,support_dual_wrench_market_guarded,cargo,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,1.0,1.0,0.0010644312355671615,9.490910279907894e-10,5.437891027760491e-08,5.92407379416681,0.8996870402620519,0.10031295973794814,9.426977722255637,1.1881572599728227,0.18967290584050786,1.0073638384518635,0.0,0.0,0.0,0.18279436858220863,0.33724683124288796,0.39023809913570384,0.3454604470207068,71.6393293696897,19.337165931316125,0.8255228556587175,690.9605008536573,0.15327475734757146,0.7917751236158465,0.0,5.856666666666668,45.080000000000005,3.0,3.3333333333333335,12546.0,587.431133336698,295.46408362990314,294.4195457365061,1.0445378933970442,0.02119981919845933,0.02119981919845933
ALL_SCENARIOS,2,reference_centralized_mpc_cbf_cargo,Reference centralized MPC-CBF cargo,model_based_reference,centralized,reference,time_expanded_mpc_cbf_cargo,reference_model_based_reference_centralized_cargo,none,centralized_reference_mpc_cbf_cargo,global_state_and_time_expanded_constraints,0,10,False,False,wrench_oracle,cargo,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,1.0,1.0,0.0010376599901818415,2.442860728516886e-12,1.3996560968227113e-10,4.91836430494877,0.9889267990074441,0.01107320099255584,3.2207387672784,0.22174942701565223,0.08384003419588011,1.0,0.0,0.0,3.5,0.20694407445499463,0.4471781831271308,0.11233921066601205,0.14156107567539356,105.35863824765352,23.428291662850526,0.6891752589038963,1032.675528722318,0.21813608588993202,0.7905981338468461,0.0,3.476666666666667,44.21666666666667,4.0,2.3333333333333335,19634.0,2121.429333327493,294.4195457365061,294.4195457365061,0.0,0.0,0.0
ALL_SCENARIOS,3,sota_centralized_cbf_cargo,SOTA centralized CBF cargo,sota,centralized,baseline,cbf_overhead_cargo,baseline_sota_centralized_cargo,none,centralized_cbf_cargo_transport,global_payload_robot_traffic_state,0,6,False,False,wrench_greedy,cargo,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,1.0,1.0,0.0038887725625194585,3.0998070776888653e-09,1.7760586285635326e-07,6.4413403453308975,0.901129224436317,0.09887077556368296,10.044358096914339,1.2728896021022664,0.20241832738617058,1.0052337132367664,0.0,0.0,0.8333333333333334,0.11499999986446839,0.3495146236915591,0.09708360946837179,0.199209002492113,99.6920052183887,20.694473059372793,0.7817096730128736,957.3199704161901,0.21261067232371522,0.7611785556465454,0.0,6.603333333333334,48.79000000000001,4.0,2.3333333333333335,19634.0,495.2912666485645,284.5473767282866,294.4195457365061,-9.872169008219478,0.03568685048951708,0.03568685048951708
ALL_SCENARIOS,4,sota_decentralized_vo_cargo,SOTA decentralized VO cargo,sota,decentralized,baseline,velocity_obstacle_cargo,baseline_sota_decentralized_cargo,none,distributed_velocity_obstacle_cargo_transport,local_relative_traffic_state,0,6,False,False,cbba_wrench_score,cargo,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,1.0,1.0,0.006805250584351698,7.921612551105758e-09,4.53874966116221e-07,6.436875442208627,0.8931966596489535,0.10680334035104642,8.683944425113259,1.1545869560956825,0.19183467788553255,1.0034366129977743,0.0,0.0,2.1666666666666665,0.11499999979048196,0.25875939025888145,0.09185797133899577,0.09415566778698298,105.8960691653814,22.465662019982272,0.7269067003611251,1016.9668981048466,0.22190656965415342,0.7287879788105222,0.0,6.300000000000001,50.14333333333334,4.0,2.3333333333333335,13086.333333333334,507.06663333888474,280.92004004177556,294.4195457365061,-13.499505694730564,0.04638410891107833,0.04638410891107833
ALL_SCENARIOS,5,ours_tensor_game_push,Ours tensor-game push,model_based,decentralized,proposed,smooth_tensor_game_wrench_push,proposed_model_based_decentralized_push_drag,model_based_tuning_optional,distributed_tensor_game_wrench_transport,local_tensor_field_and_wrench_residual,0,9,False,False,smith_wrench_pairs_guarded,push_drag,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,0.0,0.0,4.811157231663109,0.0004334208413711386,0.02483318496357539,7.9155470313187495,0.9611216965287056,0.03887830347129447,4.108980767564929,0.3323701632396591,0.5434859218908947,1.0000232688225632,0.0,0.0,0.0,0.15076044541304418,0.3786681496064431,0.125398332114338,0.11178440955530393,99.2488319910875,20.321672351923073,0.7754354878070422,967.9133678621694,0.21264034613144697,0.7576565449365608,0.0,4.8533333333333335,76.66666666666667,4.0,2.3333333333333335,13258.666666666666,1357.7917499933392,-63.9814056626274,294.4195457365061,-358.4009513991336,1.0,1.0
ALL_SCENARIOS,6,classic_centralized_shortest_push,Classic centralized shortest push,classic,centralized,baseline,shortest_path_push_drag,baseline_classic_centralized_push_drag,none,centralized_slot_assignment_plus_direct_payload_tracking,global_robot_slot_cost,0,2,False,False,hungarian_slots,push_drag,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,0.0,0.0,5.42968749287375,0.0032311089276622074,0.18512890470208565,7.846934868951277,0.9679553079313553,0.03204469206864461,3.6050604028033795,0.23682202409568617,0.45169772037729183,1.0,0.0,0.0,0.16666666666666666,0.11499999999999923,0.23755851925487348,0.14197377414507584,0.19497985864489076,94.06045119372438,19.963937379624394,0.7918617827606221,925.3909247259598,0.20246449903542105,0.7576565449365608,0.0,4.153333333333333,76.66666666666667,4.0,2.3333333333333335,19634.0,1148.36746667667,-67.5051654546648,294.4195457365061,-361.9247111911709,1.0,1.0
ALL_SCENARIOS,7,ours_primal_dual_wrench_push,Ours primal-dual wrench push,model_based,decentralized,proposed,primal_dual_wrench_formation_push,proposed_model_based_decentralized_push_drag,model_based_tuning_optional,distributed_primal_dual_wrench_formation_transport,local_wrench_residual_dual_prices,0,8,False,False,support_dual_wrench_market_guarded,push_drag,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,0.0,0.0,5.447018260939512,0.018673192964178725,1.0698951468808242,8.96421852414989,0.8736575278131823,0.12634247218681768,9.426977722255637,1.2661605071648314,0.597593249844548,1.005987083295663,0.0,0.0,2.3333333333333335,0.12016917723900312,0.3564860898393775,0.09191215383124969,0.08210810255416634,80.6002298559894,21.244577675452394,0.742312532044367,769.9278677659859,0.1711390953621632,0.7749288443899774,0.0,5.88,76.66666666666667,3.0,3.3333333333333335,12521.333333333334,1119.0199166497525,-72.60899246682843,294.4195457365061,-367.02853820333456,1.0,1.0
ALL_SCENARIOS,8,sota_decentralized_vo_push,SOTA decentralized VO push,sota,decentralized,baseline,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag,none,distributed_velocity_obstacle_payload_tracking,local_relative_traffic_state,0,6,False,False,cbba_wrench_score,push_drag,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,0.0,0.0,5.66321776251318,0.0010437735254946734,0.05980381777833541,9.258978326512787,0.8782747936055464,0.12172520639445357,8.683944425113259,1.2078809464890576,0.5864451124741583,1.0030217115403819,0.0,0.0,0.0,0.11499999983251014,0.19828222590926836,0.12978148409577805,0.09306942345036275,102.66898489540351,20.215769492233292,0.7798202726489026,983.2990223390725,0.22217864513903937,0.7125926903925105,0.0,6.37,76.66666666666667,4.0,2.3333333333333335,13055.0,1203.8361000013538,-80.33164794279212,294.4195457365061,-374.75119367929824,1.0,1.0
ALL_SCENARIOS,9,sota_centralized_cbf_push,SOTA centralized CBF push,sota,centralized,baseline,cbf_payload_push_drag,baseline_sota_centralized_push_drag,none,centralized_cbf_payload_velocity_projection,global_payload_robot_traffic_state,0,6,False,False,wrench_greedy,push_drag,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,0.0,0.0,5.856466536184907,0.0020028764924837628,0.11475636990528533,9.941031091375272,0.8750494871418727,0.12495051285812737,10.044358096914339,1.372143733941158,0.6644640480056528,1.0043537295728153,0.0,0.0,0.6666666666666666,0.1149999998440953,0.24819273931521935,0.15639824091305485,0.08475593854373598,99.88640059338432,19.09521326485007,0.7982711049397974,955.4025834033204,0.21922860126755025,0.7449832672285338,0.0,6.626666666666668,76.66666666666667,4.0,2.3333333333333335,19634.0,1197.840633355857,-81.5589324317,294.4195457365061,-375.9784781682061,1.0,1.0
ALL_SCENARIOS,10,classic_decentralized_apf_push,Classic decentralized APF push,classic,decentralized,baseline,apf_push_drag,baseline_classic_decentralized_push_drag,none,distributed_apf_payload_tracking,local_obstacle_and_slot_state,0,3,False,False,greedy_capacity,push_drag,6,"maximize transport and target success, minimize collisions, maximize score, then minimize formation break, pose error, reference gap, energy, messages and runtime",1.0,1.0,0.0,0.0,3.9245861852566972,0.8290156436153885,47.49909752948333,7.649110937345469,0.6554729171362031,0.3445270828637968,6.264194679455142,1.179936683620971,0.525811303113456,1.016969429989187,0.0,0.0,1.3333333333333333,0.1149999999787295,0.3260904427260647,0.4194161881785432,0.09157653208936029,65.32051447836294,22.434123227446293,0.705839459588149,646.2479674312523,0.13272871588081217,0.7412362859382392,0.0,4.48,76.66666666666667,2.0,4.333333333333333,12665.0,753.9574333156148,-89.98629833972832,294.4195457365061,-384.4058440762345,1.0,1.0
